CTPRVN_NM,SGG_NM,EMD_NM,EMD_CD,X,Y,TOT
서울특별시,중구,명동2가,11140127,14135726.88,4517813.841,1
서울특별시,성동구,하왕십리동,11200102,14140414.65,4517485.561,1
서울특별시,광진구,중곡동,11215101,14147462.71,4517951.853,1
서울특별시,광진구,군자동,11215109,14145754.57,4516488.404,1
서울특별시,동대문구,용두동,11230102,14141392.77,4519661.545,1
서울특별시,동대문구,답십리동,11230105,14143709.42,4518802.457,1
서울특별시,중랑구,상봉동,11260102,14147543.33,4523209.567,1
서울특별시,중랑구,망우동,11260105,14148619.88,4522387.458,1
서울특별시,중랑구,신내동,11260106,14149743.87,4525365.883,1
서울특별시,성북구,안암동5가,11290125,14140866.62,4521474.37,1
서울특별시,성북구,정릉동,11290133,14137390.71,4525102.213,1
서울특별시,강북구,미아동,11305101,14140234.18,4526037.599,1
서울특별시,강북구,번동,11305102,14141623.1,4527092.638,1
서울특별시,노원구,공릉동,11350103,14147423.51,4527354.389,1
서울특별시,서대문구,창천동,11410116,14130243.03,4517310.265,1
서울특별시,마포구,서교동,11440120,14128676.46,4516384.215,1
서울특별시,양천구,신정동,11470101,14122652.44,4511013.743,1
서울특별시,양천구,목동,11470102,14123818.06,4513907.41,1
서울특별시,강서구,등촌동,11500102,14121186.26,4517317.488,1
서울특별시,강서구,화곡동,11500103,14120573.83,4514743.607,1
서울특별시,강서구,가양동,11500104,14120995.01,4518561.236,1
서울특별시,구로구,구로동,11530102,14124739.18,4508222.415,1
서울특별시,구로구,오류동,11530108,14119451.24,4507401.589,1
서울특별시,금천구,가산동,11545101,14124637.45,4505760.775,1
서울특별시,금천구,독산동,11545102,14126254.36,4504468.737,1
서울특별시,금천구,시흥동,11545103,14127477.61,4501952.47,1
서울특별시,영등포구,도림동,11560118,14126132,4510234.998,1
서울특별시,영등포구,대림동,11560133,14126457.79,4508390.119,1
서울특별시,동작구,상도동,11590102,14131348.91,4508850.382,1
서울특별시,동작구,사당동,11590107,14134493.05,4507013.87,1
서울특별시,관악구,봉천동,11620101,14131903.65,4506640.099,2
서울특별시,관악구,신림동,11620102,14130312.44,4503973.837,7
서울특별시,서초구,서초동,11650108,14139445,4507402.536,2
서울특별시,강남구,역삼동,11680101,14141880.49,4509065.24,1
서울특별시,강남구,청담동,11680104,14143194.43,4512454.692,1
서울특별시,강남구,압구정동,11680110,14140858.29,4513492.12,1
서울특별시,강남구,도곡동,11680118,14143166.11,4507577.782,1
부산광역시,중구,대청동1가,26110116,14363870.02,4178074.141,1
부산광역시,중구,보수동1가,26110120,14363092.64,4178405.465,1
부산광역시,서구,남부민동,26140123,14362617.09,4175739.869,1
부산광역시,영도구,신선동2가,26200113,14365547.94,4175588.462,1
부산광역시,부산진구,양정동,26230101,14368661.87,4187054.313,1
부산광역시,부산진구,전포동,26230102,14368128.25,4185306.545,1
부산광역시,부산진구,부전동,26230103,14366662.08,4185289.637,1
부산광역시,부산진구,개금동,26230111,14362684.94,4184740.647,2
부산광역시,동래구,온천동,26260108,14367803.82,4192985.637,1
부산광역시,남구,용호동,26290107,14372926.52,4179426.197,1
부산광역시,남구,용당동,26290108,14371081.99,4179137.541,1
부산광역시,남구,감만동,26290111,14368891.84,4179135.922,1
부산광역시,북구,만덕동,26320103,14364503.58,4192970.353,1
부산광역시,해운대구,반송동,26350101,14378103.64,4194360.772,1
부산광역시,해운대구,중동,26350106,14379061.62,4186282.329,2
부산광역시,사하구,괴정동,26380101,14359409.6,4177809.765,1
부산광역시,사하구,감천동,26380108,14360706.19,4176024.54,2
부산광역시,강서구,대저1동,26440101,14358015.75,4193016.69,1
부산광역시,강서구,송정동,26440109,14344434.79,4176352.39,1
부산광역시,강서구,신호동,26440117,14346532.37,4176012.481,1
부산광역시,연제구,연산동,26470102,14371833.91,4189134.36,3
부산광역시,수영구,민락동,26500103,14374243.73,4185536,1
부산광역시,사상구,학장동,26530107,14358973.45,4182610.273,1
부산광역시,기장군,기장읍,26710250,14383083.74,4195634.845,1
부산광역시,기장군,정관읍,26710256,14380020.03,4209636.781,1
대구광역시,중구,동문동,27110120,14315511.7,4283013.439,1
대구광역시,중구,대신동,27110154,14313253.62,4282204.042,1
대구광역시,동구,신암동,27140101,14318372.91,4284725.549,1
대구광역시,서구,내당동,27170101,14311198.46,4281610.657,1
대구광역시,서구,중리동,27170105,14308999.39,4281858.031,1
대구광역시,남구,대명동,27200103,14312979.24,4278360.523,1
대구광역시,북구,노원동3가,27230109,14311863.14,4286141.316,1
대구광역시,북구,대현동,27230110,14316299.73,4284533.862,1
대구광역시,북구,산격동,27230111,14316265.08,4286963.181,1
대구광역시,북구,매천동,27230127,14309653.62,4287533.115,1
대구광역시,수성구,수성동3가,27260105,14317814.09,4280706.933,1
대구광역시,달서구,신당동,27290107,14303716.9,4280916.288,1
대구광역시,달서구,대천동,27290119,14303838.44,4276518.781,1
대구광역시,달성군,다사읍,27710256,14304466.18,4283698.48,1
인천광역시,중구,운서동,28110147,14076451.84,4504755.507,1
인천광역시,미추홀구,도화동,28177104,14100181.16,4504903.154,1
인천광역시,연수구,동춘동,28185105,14100086.53,4495782.551,1
인천광역시,연수구,송도동,28185106,14096862.99,4492739.475,1
인천광역시,남동구,간석동,28200102,14104627.92,4503785.751,1
인천광역시,남동구,장수동,28200104,14110923,4503266.528,1
인천광역시,부평구,부평동,28237101,14106781.45,4507518.756,2
인천광역시,부평구,산곡동,28237103,14104446.75,4509038.416,1
인천광역시,부평구,청천동,28237104,14105577.75,4511101.055,1
인천광역시,부평구,삼산동,28237105,14108387.66,4511174.231,1
인천광역시,계양구,작전동,28245103,14107495.71,4513211.45,1
인천광역시,서구,심곡동,28260107,14101952.42,4514858.3,1
인천광역시,서구,석남동,28260110,14101574.94,4509891.476,1
인천광역시,서구,가좌동,28260112,14101241.57,4507609.039,2
인천광역시,강화군,길상면,28710330,14081708.94,4526959.881,2
인천광역시,강화군,삼산면,28710410,14065394.84,4533623.327,1
인천광역시,옹진군,영흥면,28720360,14075999.02,4474188.119,1
광주광역시,서구,농성동,29140106,14125175.35,4184933.056,1
광주광역시,서구,쌍촌동,29140118,14122276.89,4184554.223,1
광주광역시,북구,임동,29170105,14125733.68,4186155.791,1
광주광역시,광산구,소촌동,29200108,14114841.74,4184558.112,1
대전광역시,동구,용전동,30110115,14185943.34,4349487.031,1
대전광역시,중구,대사동,30140110,14184555.85,4343438.142,1
대전광역시,중구,산성동,30140117,14181040.78,4343045.415,1
대전광역시,서구,도마동,30170103,14179068.33,4344562.105,1
대전광역시,서구,가수원동,30170114,14176729.44,4342355.661,1
